"Genes,Type"
"MEX3B,Down"
"GPAT2,Down"
"EPYC,Down"
"IL13RA2,Down"
"FILIP1,Down"
"TAF7L,Down"
"ANP32D,Down"
"SIT1,Down"
"CEACAM6,Down"
"CCL21,Down"
"CRTAM,Down"
"SCGB1A1,Down"
"BEX1,Down"
"LYVE1,Down"
"WFDC10B,Down"
"GZMK,Down"
"TBC1D19,Down"
"GRIK1,Down"
"ASTN1,Down"
"LRRTM2,Down"
"ERVFRD-1,Down"
"CTRB1,Down"
"XRCC3,Down"
"CYP4B1,Down"
"LRRC2,Down"
"GALR1,Down"
"ACTN2,Down"
"GAL3ST1,Down"
"MTTP,Down"
"SNX31,Down"
"NRROS,Down"
"SPRR2B,Down"
"BPIFB1,Down"
"TRAT1,Down"
"ANKRD45,Down"
"PLPPR3,Down"
"CPA5,Down"
"PCDHB12,Down"
"WFDC3,Down"
"SAMD12,Down"
"TGM1,Down"
"FAM124B,Down"
"PNCK,Down"
"LMOD2,Down"
"S100A5,Down"
"LHCGR,Down"
"GFI1,Down"
"EPHX3,Down"
"DSC1,Down"
"CSN1S1,Down"
"TACR2,Down"
"TNNC1,Down"
"CCL8,Down"
"GPR87,Down"
"VTCN1,Down"
"CHRNB4,Down"
"CTSW,Down"
"SMR3A,Down"
"DPEP2,Down"
"IQCM,Down"
"CHRM2,Down"
"COX8C,Down"
